measure,measure_key,observed_shift,exposure_removed,placebo_removed_mean,placebo_median,placebo_lo,placebo_hi,p_value,n_draws
Ad Trackers,ddg_join_ads,-0.47468930803452836,0.8581881354732314,0.858620726175158,0.17932131915890276,-0.5262604577516464,0.5268040381007085,0.05472636815920398,200
Third-Party Cookies,third_party_cookies,-0.48313064633548825,0.7534017757240811,0.7533271990895503,0.08075276354185934,-0.38763732385190863,0.2702327665063402,0.014925373134328358,200
Canvas Fingerprinting,canvas_fingerprinting,0.05736098324307548,0.06701726184706647,0.06354855300136841,0.009530074835935098,-0.05267743636882688,0.11682384987898126,0.29850746268656714,200
Session Recording,session_recording,1.0774870756174182,0.885550224788303,0.9264877715658486,0.1118562542187026,-1.2167339922611675,2.36786157666892,0.21604938271604937,161
Keylogging,key_logging,-1.2426576655559736,0.7117363061713629,0.8016437578837341,-1.0404804300514539,-2.75183161535191,0.13317454558383526,0.6169154228855721,200
