category,visits,domains,visitors,visitor_share,session_recording_pct,session_recording_pct_resid,key_logging_pct,key_logging_pct_resid,canvas_fingerprinting_pct,canvas_fingerprinting_pct_resid
Economy and Finance,32282,970,905,79.80599647266314,44.751381215469614,21.65745856353591,15.027624309392266,7.292817679558011,58.34254143646409,56.353591160220994
Health,7944,735,702,61.904761904761905,23.076923076923077,0.8547008547008548,9.401709401709402,7.264957264957266,14.387464387464387,13.105413105413104
Government,6432,281,615,54.232804232804234,7.154471544715448,0.0,1.788617886178862,1.6260162601626018,5.040650406504065,5.040650406504065
Job Related,8424,202,517,45.59082892416226,3.67504835589942,0.0,2.9013539651837523,1.5473887814313347,67.31141199226306,64.41005802707932
Adult,18902,907,383,33.77425044091711,15.66579634464752,10.182767624020887,6.527415143603134,3.6553524804177546,8.355091383812011,6.7885117493472595
