measure,measure_key,spec,unblocked,unblocked_se,unblocked_p,residual,residual_se,residual_p,pct_of_unblocked,reach_unblocked,reach_residual
Ad Trackers,ddg_join_ads,bins,2.8617875901773457,0.3073470964910902,1.2632913215018004e-20,0.2616489308126584,0.06251269019957066,2.844976692639005e-05,9.142849445246352,0.9955908289241623,0.9938271604938271
Ad Trackers,ddg_join_ads,vs_rest,1.3955566097629604,0.271862339300309,2.8467402341467255e-07,0.13600139438047462,0.04671591136970149,0.0035999332106315357,9.745315484090243,0.9955908289241623,0.9938271604938271
Ad Trackers,ddg_join_ads,continuous,0.4824937103406924,0.05781085554347448,7.056927038229691e-17,0.04742803726520493,0.010757770133618621,1.0398153131267355e-05,9.829773165688655,0.9955908289241623,0.9938271604938271
Ad Trackers,ddg_join_ads,binary,0.0019785682714531724,0.0020395466552353978,0.33199565657146324,0.0019785682714531724,0.0020395466552353978,0.33199565657146324,100.0,0.9955908289241623,0.9938271604938271
Third-Party Cookie Domains,third_party_cookies,bins,1.9372356122955132,0.23842165788234415,4.464407025526996e-16,0.15698527229119816,0.061395943406513366,0.010559975968621987,8.103571465175555,0.9938271604938271,0.9938271604938271
Third-Party Cookie Domains,third_party_cookies,vs_rest,0.9637355758862148,0.20501577198489063,2.5916011239821947e-06,0.12780476932356447,0.043781457782576104,0.0035098402657534255,13.261393739256748,0.9938271604938271,0.9938271604938271
Third-Party Cookie Domains,third_party_cookies,continuous,0.3291512142239804,0.04455966190769281,1.5045777155476311e-13,0.036942969467053874,0.010145157349014663,0.0002711185941761772,11.22370748476564,0.9938271604938271,0.9938271604938271
Third-Party Cookie Domains,third_party_cookies,binary,0.0019785682714531724,0.0020395466552353978,0.33199565657146324,0.0019785682714531724,0.0020395466552353978,0.33199565657146324,100.0,0.9938271604938271,0.9938271604938271
Canvas Fingerprinting,canvas_fingerprinting,bins,0.033224400398314494,0.00883482736001095,0.00016949489479624,0.03363283194079527,0.008657174286717351,0.0001023440066728152,101.22931200438308,0.9171075837742504,0.9118165784832452
Canvas Fingerprinting,canvas_fingerprinting,vs_rest,0.02211143887099802,0.007055058978782782,0.0017236723337805803,0.02339883769015065,0.007040384047927723,0.000888899313694333,105.8223204137168,0.9171075837742504,0.9118165784832452
Canvas Fingerprinting,canvas_fingerprinting,continuous,0.005560277938685553,0.0015609150014848708,0.0003677721446890729,0.005781010926241805,0.0015511274475455829,0.00019379280817621687,103.96981931461566,0.9171075837742504,0.9118165784832452
Canvas Fingerprinting,canvas_fingerprinting,binary,0.13830318230727318,0.0428850735492722,0.0012598477554319767,0.1322046094110969,0.0432564032968906,0.002240858160443636,95.59043198107557,0.9171075837742504,0.9118165784832452
Session Recording,session_recording,bins,0.01461692672979508,0.005814818975170735,0.011945941687464727,0.0048822531821125816,0.0010847235983792271,6.766025031403967e-06,33.40136591203278,0.8968253968253969,0.4400352733686067
Session Recording,session_recording,vs_rest,0.003616066487129542,0.0036183179024209464,0.3176117230083525,0.001820048267091739,0.0010263355791095708,0.07617136312953242,50.33226777134028,0.8968253968253969,0.4400352733686067
Session Recording,session_recording,continuous,0.0021808929180674582,0.0008596335192875726,0.011180595859973089,0.0005952024867264832,0.00020978038507547591,0.004550186794306586,27.291687812618807,0.8968253968253969,0.4400352733686067
Session Recording,session_recording,binary,0.10562266642689867,0.04454498045386902,0.017733009404154877,0.23775749636014465,0.06073453670666269,9.051664770305276e-05,225.10082769468457,0.8968253968253969,0.4400352733686067
Keylogging,key_logging,bins,0.03650822261430194,0.008079423689356402,6.223027328545889e-06,-0.0025383670809652967,0.0061159342971809135,0.6781114590318473,-6.952864037732975,0.8492063492063492,0.7513227513227513
Keylogging,key_logging,vs_rest,0.019030531527799682,0.005959977636515251,0.0014077652841609143,0.002402472843337325,0.001729085091751513,0.16469673497678694,12.62430762812803,0.8492063492063492,0.7513227513227513
Keylogging,key_logging,continuous,0.006559166517150183,0.0012154259669196717,6.791595720084038e-08,-0.00015343369178563514,0.0006024675119395083,0.7989737701371468,-2.3392254394587133,0.8492063492063492,0.7513227513227513
Keylogging,key_logging,binary,0.15841405415128224,0.05124643796264843,0.0019933535676425617,0.21221220452351747,0.05829566070514039,0.0002723475846052489,133.96046560418122,0.8492063492063492,0.7513227513227513
