caseid,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics,bl_ddg_join_ads_resid_A,bl_ddg_join_ads_resid_A_lo,bl_ddg_join_ads_resid_B,bl_ddg_join_ads_resid_B_lo,bl_ddg_join_ads_resid_C,bl_ddg_join_ads_resid_C_lo,bl_third_party_cookies_resid_A,bl_third_party_cookies_resid_A_lo,bl_third_party_cookies_resid_B,bl_third_party_cookies_resid_B_lo,bl_third_party_cookies_resid_C,bl_third_party_cookies_resid_C_lo,bl_canvas_fingerprinting_resid_A,bl_canvas_fingerprinting_resid_A_lo,bl_canvas_fingerprinting_resid_B,bl_canvas_fingerprinting_resid_B_lo,bl_canvas_fingerprinting_resid_C,bl_canvas_fingerprinting_resid_C_lo,bl_session_recording_resid_A,bl_session_recording_resid_A_lo,bl_session_recording_resid_B,bl_session_recording_resid_B_lo,bl_session_recording_resid_C,bl_session_recording_resid_C_lo,bl_key_logging_resid_A,bl_key_logging_resid_A_lo,bl_key_logging_resid_B,bl_key_logging_resid_B_lo,bl_key_logging_resid_C,bl_key_logging_resid_C_lo,bl_fb_pixel_resid_A,bl_fb_pixel_resid_A_lo,bl_fb_pixel_resid_B,bl_fb_pixel_resid_B_lo,bl_fb_pixel_resid_C,bl_fb_pixel_resid_C_lo,bl_google_analytics_resid_A,bl_google_analytics_resid_A_lo,bl_google_analytics_resid_B,bl_google_analytics_resid_B_lo,bl_google_analytics_resid_C,bl_google_analytics_resid_C_lo,bl_third_party_cookie_domains,tt_visits,tt_domains,bl_ddg_join_ads_rate,bl_third_party_cookies_rate,bl_canvas_fingerprinting_rate,bl_session_recording_rate,bl_key_logging_rate,bl_fb_pixel_rate,bl_google_analytics_rate,bl_ddg_join_ads_resid_A_rate,bl_ddg_join_ads_resid_A_lo_rate,bl_ddg_join_ads_resid_B_rate,bl_ddg_join_ads_resid_B_lo_rate,bl_ddg_join_ads_resid_C_rate,bl_ddg_join_ads_resid_C_lo_rate,bl_third_party_cookies_resid_A_rate,bl_third_party_cookies_resid_A_lo_rate,bl_third_party_cookies_resid_B_rate,bl_third_party_cookies_resid_B_lo_rate,bl_third_party_cookies_resid_C_rate,bl_third_party_cookies_resid_C_lo_rate,bl_canvas_fingerprinting_resid_A_rate,bl_canvas_fingerprinting_resid_A_lo_rate,bl_canvas_fingerprinting_resid_B_rate,bl_canvas_fingerprinting_resid_B_lo_rate,bl_canvas_fingerprinting_resid_C_rate,bl_canvas_fingerprinting_resid_C_lo_rate,bl_session_recording_resid_A_rate,bl_session_recording_resid_A_lo_rate,bl_session_recording_resid_B_rate,bl_session_recording_resid_B_lo_rate,bl_session_recording_resid_C_rate,bl_session_recording_resid_C_lo_rate,bl_key_logging_resid_A_rate,bl_key_logging_resid_A_lo_rate,bl_key_logging_resid_B_rate,bl_key_logging_resid_B_lo_rate,bl_key_logging_resid_C_rate,bl_key_logging_resid_C_lo_rate,bl_fb_pixel_resid_A_rate,bl_fb_pixel_resid_A_lo_rate,bl_fb_pixel_resid_B_rate,bl_fb_pixel_resid_B_lo_rate,bl_fb_pixel_resid_C_rate,bl_fb_pixel_resid_C_lo_rate,bl_google_analytics_resid_A_rate,bl_google_analytics_resid_A_lo_rate,bl_google_analytics_resid_B_rate,bl_google_analytics_resid_B_lo_rate,bl_google_analytics_resid_C_rate,bl_google_analytics_resid_C_lo_rate,bl_third_party_cookie_domains_rate,gender_lab,race_lab,educ_lab,agegroup_lab,birthyr
47541,161861.0,172095.0,1451.0,1173.0,3909.0,2715.0,50.0,18271.0,14363.0,105606.0,81602.0,32195.0,3445.0,12758.0,11947.0,66263.0,53646.0,17339.0,5950.0,1379.0,1197.0,1419.0,1094.0,1417.0,1090.0,47.0,47.0,39.0,29.0,39.0,29.0,641.0,639.0,794.0,642.0,794.0,642.0,0.0,0.0,2715.0,0.0,2715.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,103506.0,17194,553,9.413807142026288,10.00901477259509,0.0843899034546935,0.06822147260672327,0.22734674886588344,0.15790391997208328,0.0029079911597068744,1.062638129580086,0.8353495405373967,6.142026288240084,4.745957892288008,1.8724555077352565,0.20036059090380365,0.7420030243108061,0.6948354077003606,3.8538443643131326,3.1200418750726997,1.0084331743631498,0.34605094800511804,0.0802023961847156,0.06961730836338258,0.0825287891124811,0.06362684657438641,0.08241246946609282,0.06339420728160987,0.002733511690124462,0.002733511690124462,0.002268233104571362,0.0016866348726299872,0.002268233104571362,0.0016866348726299872,0.03728044666744213,0.03716412702105386,0.046178899616145165,0.03733860649063627,0.046178899616145165,0.03733860649063627,0.0,0.0,0.15790391997208328,0.0,0.15790391997208328,0.0,0.0029079911597068744,0.0029079911597068744,0.0029079911597068744,0.0029079911597068744,0.0,0.0,6.019890659532395,Female,White,HS or Below,65+,1955
56565,97694.0,103287.0,222.0,185.0,1625.0,585.0,36.0,10737.0,8988.0,63250.0,49995.0,15852.0,822.0,7791.0,7523.0,38191.0,29942.0,11308.0,3230.0,191.0,191.0,220.0,144.0,220.0,144.0,12.0,12.0,12.0,8.0,12.0,8.0,50.0,38.0,97.0,29.0,97.0,29.0,0.0,0.0,585.0,0.0,585.0,0.0,36.0,36.0,36.0,36.0,0.0,0.0,57916.0,11479,334,8.510671661294538,8.997909225542294,0.019339663733774718,0.016116386444812267,0.14156285390713477,0.05096262740656852,0.0031361616865580627,0.9353602230159421,0.782995034410663,5.510061852077707,4.35534454220751,1.3809565293144002,0.07160902517640909,0.6787176583326073,0.6553706768882307,3.3270319714260825,2.608415367192264,0.9851032319888492,0.2813833957661817,0.01663908005923861,0.01663908005923861,0.019165432528965937,0.012544646746232251,0.019165432528965937,0.012544646746232251,0.0010453872288526875,0.0010453872288526875,0.0010453872288526875,0.000696924819235125,0.0010453872288526875,0.000696924819235125,0.0043557801202195314,0.0033103928913668437,0.00845021343322589,0.002526352469727328,0.00845021343322589,0.002526352469727328,0.0,0.0,0.05096262740656852,0.0,0.05096262740656852,0.0,0.0031361616865580627,0.0031361616865580627,0.0031361616865580627,0.0031361616865580627,0.0,0.0,5.045387228852688,Female,White,Some college,65+,1940
203271,11317.0,22787.0,137.0,786.0,10.0,24.0,2.0,3631.0,2735.0,8029.0,4910.0,3257.0,214.0,3017.0,2967.0,7695.0,5801.0,3825.0,2077.0,133.0,133.0,137.0,133.0,137.0,133.0,21.0,15.0,6.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,9601.0,6540,152,1.7304281345565748,3.484250764525994,0.0209480122324159,0.12018348623853212,0.0015290519877675841,0.003669724770642202,0.0003058103975535168,0.5551987767584098,0.4181957186544342,1.2276758409785933,0.7507645259938838,0.49801223241590215,0.0327217125382263,0.4613149847094801,0.4536697247706422,1.176605504587156,0.8870030581039755,0.5848623853211009,0.31758409785932723,0.02033639143730887,0.02033639143730887,0.0209480122324159,0.02033639143730887,0.0209480122324159,0.02033639143730887,0.003211009174311927,0.0022935779816513763,0.0009174311926605505,0.0,0.0009174311926605505,0.0,0.0,0.0,0.0015290519877675841,0.0,0.0015290519877675841,0.0,0.0,0.0,0.003669724770642202,0.0,0.003669724770642202,0.0,0.0003058103975535168,0.0003058103975535168,0.0003058103975535168,0.0003058103975535168,0.0,0.0,1.4680428134556576,Female,White,Postgrad,35-49,1980
216457,19793.0,5050.0,22.0,10.0,2.0,10.0,28.0,2059.0,2009.0,12623.0,10157.0,3114.0,14.0,1856.0,1852.0,2615.0,769.0,1903.0,68.0,20.0,20.0,22.0,10.0,22.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,28.0,28.0,28.0,28.0,0.0,0.0,3362.0,1770,49,11.182485875706215,2.853107344632768,0.012429378531073447,0.005649717514124294,0.0011299435028248588,0.005649717514124294,0.015819209039548022,1.163276836158192,1.1350282485875707,7.131638418079096,5.7384180790960455,1.759322033898305,0.007909604519774011,1.048587570621469,1.0463276836158193,1.4774011299435028,0.4344632768361582,1.075141242937853,0.0384180790960452,0.011299435028248588,0.011299435028248588,0.012429378531073447,0.005649717514124294,0.012429378531073447,0.005649717514124294,0.0022598870056497176,0.0022598870056497176,0.0022598870056497176,0.0022598870056497176,0.0022598870056497176,0.0022598870056497176,0.0,0.0,0.0011299435028248588,0.0,0.0011299435028248588,0.0,0.0,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.015819209039548022,0.015819209039548022,0.015819209039548022,0.015819209039548022,0.0,0.0,1.8994350282485877,Female,White,HS or Below,35-49,1976
257495,73761.0,77189.0,1516.0,445.0,2036.0,1221.0,18.0,9979.0,8232.0,46242.0,35146.0,14583.0,1837.0,6644.0,6061.0,29871.0,23080.0,8975.0,2770.0,1501.0,1499.0,1503.0,1261.0,1503.0,1251.0,164.0,164.0,152.0,152.0,152.0,152.0,579.0,579.0,660.0,571.0,660.0,571.0,0.0,0.0,1221.0,0.0,1221.0,0.0,18.0,18.0,18.0,18.0,0.0,0.0,46899.0,10012,284,7.367259288853376,7.709648421893728,0.1514182980423492,0.04444666400319616,0.20335597283260087,0.12195365561326409,0.001797842588893328,0.9967039552536956,0.8222133439872154,4.6186576108669595,3.5103875349580504,1.4565521374350778,0.18347982421094686,0.6636036755892929,0.6053735517379145,2.9835197762684778,2.305233719536556,0.8964242908509789,0.2766679984019177,0.14992009588493807,0.14972033559728326,0.15011985617259288,0.12594886136636035,0.15011985617259288,0.12495005992808629,0.016380343587694766,0.016380343587694766,0.015181781861765881,0.015181781861765881,0.015181781861765881,0.015181781861765881,0.05783060327606872,0.05783060327606872,0.0659208949260887,0.05703156212544946,0.0659208949260887,0.05703156212544946,0.0,0.0,0.12195365561326409,0.0,0.12195365561326409,0.0,0.001797842588893328,0.001797842588893328,0.001797842588893328,0.001797842588893328,0.0,0.0,4.684278865361566,Female,Other,HS or Below,65+,1952
283951,2255.0,2504.0,18.0,0.0,0.0,6.0,0.0,517.0,448.0,1445.0,928.0,576.0,44.0,562.0,440.0,803.0,294.0,528.0,89.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,807,20,2.7942998760842626,3.1028500619578687,0.022304832713754646,0.0,0.0,0.007434944237918215,0.0,0.6406443618339529,0.5551425030978935,1.7905824039653035,1.1499380421313508,0.7137546468401487,0.05452292441140025,0.6964064436183395,0.5452292441140025,0.9950433705080545,0.3643122676579926,0.654275092936803,0.11028500619578686,0.022304832713754646,0.022304832713754646,0.022304832713754646,0.022304832713754646,0.022304832713754646,0.022304832713754646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007434944237918215,0.0,0.007434944237918215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1363073110285007,Female,Black,College,50-64,1959
294487,73779.0,64748.0,1095.0,220.0,366.0,460.0,51.0,13054.0,10850.0,51130.0,37603.0,15606.0,950.0,10868.0,9835.0,22207.0,10716.0,12603.0,1543.0,1031.0,1025.0,1093.0,925.0,1091.0,245.0,84.0,84.0,74.0,74.0,74.0,74.0,116.0,52.0,229.0,22.0,229.0,22.0,0.0,0.0,460.0,0.0,460.0,0.0,51.0,51.0,51.0,51.0,0.0,0.0,28571.0,14772,360,4.994516653127539,4.383157324668291,0.07412672623883022,0.014893040888166802,0.024776604386677496,0.031139994584348768,0.0034524776604386675,0.8836988897914975,0.7344976983482264,3.4612780936907663,2.5455591659897103,1.0564581640942323,0.06431085838072029,0.73571621987544,0.6657866233414568,1.5033170863796372,0.7254264825345248,0.8531681559707555,0.10445437313836989,0.0697942052531817,0.06938803141077715,0.0739913349580287,0.06261846737070133,0.07385594367722718,0.016585431898185756,0.005686433793663688,0.005686433793663688,0.005009477389656106,0.005009477389656106,0.005009477389656106,0.005009477389656106,0.00785269428648795,0.003520173300839426,0.015502301651773626,0.0014893040888166802,0.015502301651773626,0.0014893040888166802,0.0,0.0,0.031139994584348768,0.0,0.031139994584348768,0.0,0.0034524776604386675,0.0034524776604386675,0.0034524776604386675,0.0034524776604386675,0.0,0.0,1.9341321418900623,Female,White,College,65+,1947
296069,45654.0,41864.0,74.0,115.0,541.0,388.0,90.0,7454.0,5047.0,30619.0,24308.0,7792.0,443.0,3908.0,3728.0,12233.0,11002.0,2693.0,1436.0,44.0,44.0,74.0,66.0,54.0,44.0,79.0,12.0,67.0,0.0,67.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,0.0,388.0,0.0,388.0,0.0,90.0,90.0,90.0,90.0,0.0,0.0,17073.0,6673,262,6.841600479544433,6.273640041960138,0.01108946500824217,0.01723362805334932,0.08107298066836505,0.058144762475648135,0.013487187172186423,1.1170388131275288,0.7563314850891653,4.588490933613068,3.6427393975723064,1.1676906938408511,0.0663869324142065,0.5856436385433837,0.558669264199011,1.833208451970628,1.648733702982167,0.4035666117188671,0.21519556421399672,0.0065937359508466955,0.0065937359508466955,0.01108946500824217,0.009890603926270043,0.008092312303311854,0.0065937359508466955,0.011838753184474748,0.0017982916229581896,0.01004046156151656,0.0,0.01004046156151656,0.0,0.007043308856586243,0.007043308856586243,0.007043308856586243,0.007043308856586243,0.007043308856586243,0.007043308856586243,0.0,0.0,0.058144762475648135,0.0,0.058144762475648135,0.0,0.013487187172186423,0.013487187172186423,0.013487187172186423,0.013487187172186423,0.0,0.0,2.5585194065637644,Male,White,HS or Below,65+,1951
345485,37699.0,15746.0,195.0,203.0,53.0,312.0,12.0,4184.0,3742.0,24275.0,18639.0,7257.0,495.0,3906.0,3838.0,7738.0,3282.0,5521.0,1218.0,173.0,173.0,195.0,151.0,195.0,149.0,51.0,51.0,48.0,0.0,48.0,0.0,0.0,0.0,49.0,1.0,49.0,1.0,0.0,0.0,312.0,0.0,312.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,10641.0,4249,194,8.872440574252765,3.705813132501765,0.045893151329724644,0.047775947281713346,0.01247352318192516,0.07342904212755942,0.002824193927983055,0.9847022828900918,0.8806778065427159,5.713108966815722,4.38667921863968,1.7079312779477525,0.11649799952930101,0.9192751235584844,0.9032713579665804,1.8211343845610732,0.7724170393033655,1.2993645563662037,0.28665568369028005,0.040715462461755704,0.040715462461755704,0.045893151329724644,0.03553777359378677,0.045893151329724644,0.035067074605789596,0.012002824193927984,0.012002824193927984,0.01129677571193222,0.0,0.01129677571193222,0.0,0.0,0.0,0.011532125205930808,0.0002353494939985879,0.011532125205930808,0.0002353494939985879,0.0,0.0,0.07342904212755942,0.0,0.07342904212755942,0.0,0.002824193927983055,0.002824193927983055,0.002824193927983055,0.002824193927983055,0.0,0.0,2.5043539656389737,Male,White,HS or Below,65+,1935
359503,21972.0,31417.0,137.0,185.0,97.0,484.0,11.0,4306.0,3077.0,14262.0,9513.0,5342.0,554.0,2743.0,2622.0,9415.0,6565.0,3455.0,877.0,137.0,137.0,137.0,137.0,125.0,125.0,31.0,31.0,31.0,6.0,31.0,6.0,64.0,64.0,35.0,6.0,35.0,6.0,0.0,0.0,484.0,0.0,484.0,0.0,11.0,11.0,11.0,11.0,0.0,0.0,15743.0,4390,261,5.00501138952164,7.156492027334852,0.03120728929384966,0.04214123006833713,0.022095671981776765,0.110250569476082,0.0025056947608200456,0.9808656036446469,0.7009111617312073,3.24874715261959,2.166970387243736,1.2168564920273348,0.12619589977220957,0.6248291571753987,0.5972665148063782,2.144646924829157,1.4954441913439636,0.7870159453302962,0.19977220956719818,0.03120728929384966,0.03120728929384966,0.03120728929384966,0.03120728929384966,0.02847380410022779,0.02847380410022779,0.007061503416856492,0.007061503416856492,0.007061503416856492,0.001366742596810934,0.007061503416856492,0.001366742596810934,0.01457858769931663,0.01457858769931663,0.007972665148063782,0.001366742596810934,0.007972665148063782,0.001366742596810934,0.0,0.0,0.110250569476082,0.0,0.110250569476082,0.0,0.0025056947608200456,0.0025056947608200456,0.0025056947608200456,0.0025056947608200456,0.0,0.0,3.586104783599089,Male,White,Some college,50-64,1962
