measure,pooled_coef,pooled_p,device_adj_coef,device_adj_p,desktop_coef,desktop_p,desktop_n,mobile_coef,mobile_p,mobile_n
Ad Trackers,2.8617875901773457,1.2632913215018004e-20,2.857858227506688,7.960461148463326e-20,2.923735868824348,3.4574072827781433e-15,680,2.6752624434322736,0.00010715812423656459,439
Third-Party Cookies,3.1729834116142768,1.6751624908774068e-13,3.2119689206022786,5.445069000711448e-13,3.0225967718904174,2.0719668230140383e-09,680,3.8149219217911354,0.0008017678222216921,439
Canvas Fingerprinting,0.033224400398314494,0.00016949489479624,0.02986386945815563,0.0006732489928865956,0.027665278894077598,0.02022785590132351,680,0.03309316695024481,0.001210004779641627,439
Session Recording,0.01461692672979508,0.011945941687464727,0.015978376914022,0.007255960189054213,0.010731615307856322,0.1582994914899526,680,0.02812223964495267,0.014254527304271557,439
Keylogging,0.03650822261430194,6.223027328545889e-06,0.032423340193785774,6.695259833455416e-05,0.03969114977827112,0.0003468398754257617,680,0.022987165825815586,0.049318005916795506,439
