measure,published_mean,published_coef,published_p,published_resid_share,excluded_mean,excluded_coef,excluded_p,excluded_resid_share,imputed_mean,imputed_coef,imputed_p,imputed_resid_share
Ad Trackers,4.977158707485879,2.8617875901773457,1.2632913215018004e-20,23.220151546972662,6.100289064651773,3.655178734395415,2.7905683921677484e-25,23.197204546166326,6.635135737935152,3.144147196023333,1.0302902024739097e-24,23.77536396102973
Third-Party Cookie Domains,6.119764975695177,3.1729834116142763,1.6751624908774248e-13,29.81969738107186,7.507487656272284,4.0725587612898435,5.653175090732841e-17,29.66921674027284,8.424707251274652,3.5655235858614525,2.9295189414755184e-16,28.875150898912548
Canvas Fingerprinting,0.061581997655354416,0.033224400398314494,0.0001694948947962404,93.24529554552194,0.0749700907356731,0.04328296729014121,2.0709369633923344e-05,93.34760440871383,0.07643500066923446,0.03575392161580204,4.612943906128777e-05,90.9903966683359
Session Recording,0.03486028737126736,0.01461692672979508,0.01194594168746474,11.4449775211697,0.04321229958306774,0.02013068016709714,0.005391716296665335,11.436036318044344,0.056301315915497405,0.018268413003426295,0.0024635662370970676,11.516679189396935
Keylogging,0.04131348709630819,0.03650822261430195,6.223027328545876e-06,29.17486539619838,0.050803043089122646,0.04643681205425697,7.830941731029976e-07,29.776245494512196,0.05015623794185821,0.03801417571105094,2.3065610514576633e-06,37.79839020342869
