measure,gap_subsample,gap_full,same_sign
Ad Trackers,3.0935951879058194,2.898038453879496,True
Third-Party Cookies,3.164014894567871,3.254363275831305,True
Canvas Fingerprinting,0.04019287760110976,0.03557072965521916,True
Session Recording,0.015247797543390822,0.015278194199958087,True
