measure,unweighted_pct,weighted_pct,projected_m,weighted_pct_resid,projected_m_resid,projected_m_lo,projected_m_hi,projected_m_resid_lo,projected_m_resid_hi
Ad Trackers,99.55908289241623,99.53069273563344,254.05703033813987,99.32406770074196,253.5296096871305,252.81415249257748,254.90771732568058,252.2010987010713,254.65326544005208
Third-Party Cookies,99.38271604938271,99.2838281717327,253.4268962932887,99.2838281717327,253.4268962932887,252.02404466720287,254.6936421249769,252.02404466720287,254.6936421249769
Canvas Fingerprinting,91.71075837742504,91.64361733139104,233.92487913753408,91.18103393841432,232.74411208092812,229.6877619359973,238.1419813820207,228.55089973063542,236.90162275083586
Session Recording,89.68253968253968,89.61081855332066,228.73605942135558,43.83344055440533,111.88703133348821,224.54754895390923,232.93786775777758,104.25526972164099,119.03216005906982
Keylogging,84.92063492063492,84.7971655611878,216.44897138201205,75.01821561897013,191.48771657849065,210.33391748753192,221.99662079503318,185.11981048818535,198.28969530411268
