caseid,w_rake,w_trim
47541,0.9717185605641471,0.9754666080101793
56565,0.8467872376781729,0.8500534084320481
203271,0.9777782848802083,0.981549705487121
216457,0.9797300688759462,0.9835090177727539
257495,0.5089098970834722,0.5108728300945663
283951,0.912327088842468,0.9158460555001563
294487,0.9143989886217189,0.9179259468718199
296069,0.9942634740922193,0.9980984802616917
345485,0.9942634740922193,0.9980984802616917
359503,0.9041325938222218,0.9076199532251157
368901,0.8664336104294011,0.8697755598502716
438245,0.9433278645533911,0.9469664053171465
487819,0.9763230863490857,0.9800888940621425
509295,1.0139985476701974,1.0179096746375254
576397,1.0024608579954177,1.0063274825624895
596481,1.1447821904703983,1.1491977673044609
629125,0.9717185605641471,0.9754666080101793
645543,0.47889040518331305,0.5013979614779249
716485,0.9219379154210492,0.9254939523123152
729591,0.9143989886217189,0.9179259468718199
865545,0.9942634740922193,0.9980984802616917
882005,0.44348067791172846,0.5013979614779249
948977,0.9356140265609608,0.9392228140278666
1087061,0.9922827371546403,0.9961101033588785
1106525,0.9717185605641471,0.9754666080101793
1126443,0.9356140265609608,0.9392228140278666
1149777,0.912327088842468,0.9158460555001563
1279017,0.9777782848802083,0.981549705487121
1291451,0.9717185605641471,0.9754666080101793
1356687,1.1447821904703983,1.1491977673044609
1462401,0.8742864253312759,0.8776586641013793
1473089,0.9290915205672194,0.9326751498628979
1511441,0.9143989886217189,0.9179259468718199
1580341,0.9717185605641471,0.9754666080101793
1585201,0.8096406451211275,0.8127635365377414
1588369,0.8664336104294011,0.8697755598502716
1629501,0.9942634740922193,0.9980984802616917
1685951,0.9942634740922193,0.9980984802616917
1736803,1.0354574824307798,1.0394513793573203
1809723,0.9942634740922193,0.9980984802616917
1827351,0.9356140265609608,0.9392228140278666
1924249,0.4575110931561064,0.5013979614779249
1988109,1.0549288403020498,1.0589978408399672
2019721,0.8537687272455282,0.8570618265311866
2046153,1.0375244022772587,1.0415262715879507
2053065,0.8448685366377626,0.8481273067070919
2079493,0.9717185605641471,0.9754666080101793
2084559,1.169835405848432,1.1743476162590498
2091803,0.9942634740922193,0.9980984802616917
2109537,0.9717185605641471,0.9754666080101793
2146835,0.8664336104294011,0.8697755598502716
2167149,0.9942634740922193,0.9980984802616917
2171195,0.9763230863490857,0.9800888940621425
2210037,1.1470673379240877,1.1514917288751438
2239413,0.9942634740922193,0.9980984802616917
2253253,1.0354574824307798,1.0394513793573203
2260987,0.9041325938222218,0.9076199532251157
2272655,0.9922827371546403,0.9961101033588785
2282919,1.0375244022772587,1.0415262715879507
2288993,0.8664336104294011,0.8697755598502716
2310101,0.87357707804779,0.8769465807712826
2314047,0.9356140265609608,0.9392228140278666
2316473,0.8644703934655561,0.867804770498056
2316839,1.0139985476701974,1.0179096746375254
2329325,0.9219379154210492,0.9254939523123152
2330841,0.8537687272455282,0.8570618265311866
2352659,0.9922827371546403,0.9961101033588785
2376943,1.0004637905161755,1.0043227121289466
2378833,0.8664336104294011,0.8697755598502716
2399787,0.9143989886217189,0.9179259468718199
2401499,0.9143989886217189,0.9179259468718199
2403639,0.9143989886217189,0.9179259468718199
2413667,0.5113213862105007,0.5132936206551894
2430305,0.9942634740922193,0.9980984802616917
2435465,0.8664336104294011,0.8697755598502716
2447159,1.0354574824307798,1.0394513793573203
2468045,0.8467872376781729,0.8500534084320481
2481535,0.8467872376781729,0.8500534084320481
2497535,0.9942634740922193,0.9980984802616917
2499367,1.0354574824307798,1.0394513793573203
2505339,0.9433278645533911,0.9469664053171465
2586775,0.9942634740922193,0.9980984802616917
2591365,0.8664336104294011,0.8697755598502716
2598643,0.87357707804779,0.8769465807712826
2650505,0.9697827368152182,0.9735233175321453
2661043,0.9356140265609608,0.9392228140278666
2668063,0.9717185605641471,0.9754666080101793
2696215,0.8467872376781729,0.8500534084320481
2696561,0.9356140265609608,0.9392228140278666
2711471,1.0139985476701974,1.0179096746375254
2738347,1.0004637905161755,1.0043227121289466
2744485,0.9143989886217189,0.9179259468718199
2763809,0.8644703934655561,0.867804770498056
2786281,0.9695167826792411,0.9732563375757707
2843303,1.4966322903527984,1.496228093644778
2873277,1.0139985476701974,1.0179096746375254
2876033,0.9143989886217189,0.9179259468718199
2895795,0.8836313970300484,0.8870396805961764
2909235,0.9717185605641471,0.9754666080101793
2912283,0.8836313970300484,0.8870396805961764
2956723,0.9717185605641471,0.9754666080101793
2984703,0.8537687272455282,0.8570618265311866
3043245,0.9942634740922193,0.9980984802616917
3052135,0.9695167826792411,0.9732563375757707
3054289,0.8836313970300484,0.8870396805961764
3057207,1.0139985476701974,1.0179096746375254
3071093,0.9143989886217189,0.9179259468718199
3072123,0.8467872376781729,0.8500534084320481
3091327,0.9763230863490857,0.9800888940621425
3093309,0.9356140265609608,0.9392228140278666
3093519,0.9942634740922193,0.9980984802616917
3160023,1.465615918146121,1.4712689932460579
3215061,1.1188242666754036,1.1231397203524818
3222795,0.8467872376781729,0.8500534084320481
3269987,0.9763230863490857,0.9800888940621425
3277595,0.9763230863490857,0.9800888940621425
3284893,0.9717185605641471,0.9754666080101793
3341131,1.0139985476701974,1.0179096746375254
3388619,0.9942634740922193,0.9980984802616917
3494217,0.8467872376781729,0.8500534084320481
3496437,0.8467872376781729,0.8500534084320481
3577773,0.9717185605641471,0.9754666080101793
3643747,0.9717185605641471,0.9754666080101793
3670315,1.1210575984352786,1.1253816663693428
3675677,0.9356140265609608,0.9392228140278666
3683549,0.44348067791172846,0.5013979614779249
3683705,0.5422913405217124,0.5443830301902391
3723453,0.8664336104294011,0.8697755598502716
3782415,0.9717185605641471,0.9754666080101793
3802269,0.9717185605641471,0.9754666080101793
3808845,0.9942634740922193,0.9980984802616917
3824293,0.9717185605641471,0.9754666080101793
3849639,0.9041325938222218,0.9076199532251157
3888927,0.9041325938222218,0.9076199532251157
3908785,0.9922827371546403,0.9961101033588785
4001341,0.9433278645533911,0.9469664053171465
4012089,0.9942634740922193,0.9980984802616917
4024501,0.9763230863490857,0.9800888940621425
4072033,0.8664336104294011,0.8697755598502716
4076275,0.9942634740922193,0.9980984802616917
4148567,0.9922827371546403,0.9961101033588785
4164787,0.9334940564831091,0.9370946669440808
4232411,0.9356140265609608,0.9392228140278666
4233925,0.9942634740922193,0.9980984802616917
4436277,0.9433278645533911,0.9469664053171465
4446433,0.8467872376781729,0.8500534084320481
4577171,0.953696647572624,0.9573751821085381
4617051,0.9697827368152182,0.9735233175321453
4653631,0.9942634740922193,0.9980984802616917
4657433,1.4747556307930016,1.4804439589775598
4705375,0.9356140265609608,0.9392228140278666
4715721,0.9356140265609608,0.9392228140278666
4717785,1.4391704954395728,1.4447215670345266
4757927,0.9717185605641471,0.9754666080101793
4771071,1.0004637905161755,1.0043227121289466
4793045,1.0024608579954177,1.0063274825624895
4889903,0.9290915205672194,0.9326751498628979
4924277,1.1188242666754036,1.1231397203524818
4966261,0.8467872376781729,0.8500534084320481
4984757,0.9717185605641471,0.9754666080101793
5082825,0.9763230863490857,0.9800888940621425
5121169,0.44348067791172846,0.5013979614779249
5173911,0.8664336104294011,0.8697755598502716
5204661,0.9717185605641471,0.9754666080101793
5209607,0.9697827368152182,0.9735233175321453
5238483,0.9697827368152182,0.9735233175321453
5246961,0.9942634740922193,0.9980984802616917
5271809,0.8945708087502953,0.8980212870792107
5364183,0.9942634740922193,0.9980984802616917
5396039,0.9433278645533911,0.9469664053171465
5421327,1.0375244022772587,1.0415262715879507
5463461,0.9541849709191724,0.9578653889830403
5493923,1.0139985476701974,1.0179096746375254
5538251,1.0024608579954177,1.0063274825624895
5545165,0.8664336104294011,0.8697755598502716
5562129,0.9922827371546403,0.9961101033588785
5585153,0.5422913405217124,0.5443830301902391
5647591,0.9541849709191724,0.9578653889830403
5654881,1.0375244022772587,1.0415262715879507
5669173,0.4900011765655264,0.5013979614779249
5720917,0.9143989886217189,0.9179259468718199
5731611,0.9942634740922193,0.9980984802616917
5753683,1.154220552982307,1.1586725348331546
5754453,0.9697827368152182,0.9735233175321453
5879589,0.9506474410167501,0.9543142143583143
5898041,1.1470673379240877,1.1514917288751438
5900515,0.992010612597267,0.9958369291809736
5909915,0.9942634740922193,0.9980984802616917
5956121,0.8467872376781729,0.8500534084320481
5978505,0.9290915205672194,0.9326751498628979
6058677,0.8444361581746994,0.847693260502915
6187219,0.9697827368152182,0.9735233175321453
6251069,1.169835405848432,1.1743476162590498
6289175,0.9717185605641471,0.9754666080101793
6342465,1.0194327164867654,1.0233648037643939
6420621,1.169835405848432,1.1743476162590498
6517523,0.8467872376781729,0.8500534084320481
6533753,0.9717185605641471,0.9754666080101793
6546447,0.9942634740922193,0.9980984802616917
6707923,0.9717185605641471,0.9754666080101793
6761451,0.9506474410167501,0.9543142143583143
6902469,0.9697827368152182,0.9735233175321453
7001585,0.9717185605641471,0.9754666080101793
7142187,1.1303003592843215,1.1346600777735982
7207677,1.0354574824307798,1.0394513793573203
7276707,1.169835405848432,1.1743476162590498
7410899,0.9769261446503681,0.9806942784393257
7420739,1.1303003592843215,1.1346600777735982
7566023,0.9143989886217189,0.9179259468718199
7962873,0.8640279833580878,0.8673606539560905
8167881,0.8467872376781729,0.8500534084320481
8228137,0.9797300688759462,0.9835090177727539
8236437,0.8448685366377626,0.8481273067070919
8349245,0.5078960645759742,0.50985508710054
8531583,1.0883036645500956,1.0925013962143506
8534675,1.125793330615341,1.1301356648969083
8538267,0.8640279833580878,0.8673606539560905
8559845,1.169835405848432,1.1743476162590498
8565859,0.9290915205672194,0.9326751498628979
8637337,1.169835405848432,1.1743476162590498
8694477,0.9290915205672194,0.9326751498628979
8736743,1.0375244022772587,1.0415262715879507
8749571,0.5089098970834722,0.5108728300945663
8752945,0.9717185605641471,0.9754666080101793
8771815,0.9584852246964963,0.9621822294098752
8773451,1.1969768428213126,1.2015937413563076
8783205,0.8664336104294011,0.8697755598502716
8799581,1.0078331946194354,1.0117205410018353
8815273,0.9942634740922193,0.9980984802616917
8819339,0.8467872376781729,0.8500534084320481
8820539,1.43843397099829,1.4439822017207289
8834669,1.169835405848432,1.1743476162590498
9045655,1.4725607955620699,1.4782406579758631
9074417,0.9942634740922193,0.9980984802616917
9098949,0.8444361581746994,0.847693260502915
9126985,0.9777782848802083,0.981549705487121
9200625,1.0883036645500956,1.0925013962143506
9218311,1.1675049006457063,1.1720081219884733
9222767,0.9041325938222218,0.9076199532251157
9224579,1.1263697729968118,1.1307143306931449
9224949,0.9356140265609608,0.9392228140278666
9267561,1.1963642658520233,1.200978801596352
9348897,0.8467872376781729,0.8500534084320481
9382705,1.1470673379240877,1.1514917288751438
43901031,1.0078331946194354,1.0117205410018353
44553161,0.9272406169172996,0.9308171070319646
44643107,0.9763230863490857,0.9800888940621425
44709005,1.1008293505690117,1.1050753954665407
45184669,0.8664336104294011,0.8697755598502716
45283241,0.8467872376781729,0.8500534084320481
45410765,1.4747556307930016,1.4804439589775598
46117859,0.9942634740922193,0.9980984802616917
46359515,0.9717185605641471,0.9754666080101793
46367143,0.9777782848802083,0.981549705487121
46788081,0.49404107932972535,0.5013979614779249
47019621,0.9334940564831091,0.9370946669440808
48368483,1.0375244022772587,1.0415262715879507
48471247,0.9915029312179556,0.9953272896072072
48706265,0.9143989886217189,0.9179259468718199
49050251,1.0078331946194354,1.0117205410018353
49079667,0.8664336104294011,0.8697755598502716
49768835,0.8664336104294011,0.8697755598502716
49849143,1.1008293505690117,1.1050753954665407
49856815,0.9541849709191724,0.9578653889830403
50043477,0.8831791808936982,0.8865857202021741
50350019,1.0375244022772587,1.0415262715879507
50467805,0.9041325938222218,0.9076199532251157
50553241,1.0134796135229556,1.0173887388924092
51055265,1.0354574824307798,1.0394513793573203
51062521,1.169835405848432,1.1743476162590498
51072027,1.1303003592843215,1.1346600777735982
51084731,0.9717185605641471,0.9754666080101793
51201655,0.8444361581746994,0.847693260502915
51307001,1.1945922673966065,1.1991999683077286
51376843,0.9367515825867456,0.9403647577582095
51448787,0.9697827368152182,0.9735233175321453
51516201,1.1263697729968118,1.1307143306931449
