measure,base,gap,composition,site_choice,interaction,gap_lo,gap_hi,composition_lo,composition_hi,site_choice_lo,site_choice_hi,interaction_lo,interaction_hi
Ad Trackers,young,3.333392430363769,0.23677184407865143,2.906920181986306,0.18970040429881152,2.786627821453747,3.8843250818203834,0.11966531555207885,0.46344250145879734,2.224230322373841,3.6915913072637663,-0.4926780421502841,0.6515435760562951
Ad Trackers,old,3.333392430363769,0.4264722483774617,3.0966205862851166,-0.1897004042988093,,,,,,,,
Third-Party Cookies,young,3.396784753353787,0.44225124290881407,2.932201956469265,0.022331553975707852,2.6595683811213138,4.0379213001143635,0.30241743489649914,0.7031533100758279,2.068527144822074,3.815168812022815,-0.6086500815401507,0.41432457636885967
Third-Party Cookies,old,3.396784753353787,0.46458279688452153,2.9545335104449735,-0.022331553975707852,,,,,,,,
Canvas Fingerprinting,young,0.036553090791382935,0.009952929581614407,0.02477800811548413,0.0018221530942843962,0.018382699847037033,0.05280511297659677,0.002572399715249767,0.015439008662139906,0.010237568020928506,0.039998795353281436,-0.006822426359356887,0.01118479848244459
Canvas Fingerprinting,old,0.036553090791382935,0.011775082675898798,0.026600161209768526,-0.0018221530942843893,,,,,,,,
Session Recording,young,0.009759260196733732,0.0025397939324621195,0.0018987561765039188,0.0053207100877676935,-0.0059313721933181825,0.026370657403183433,-0.00251620329227446,0.007433010873767712,-0.013580660103082728,0.016132016202756613,0.0002151981539072326,0.011523096803959066
Session Recording,old,0.009759260196733732,0.007860504020229812,0.007219466264271611,-0.00532071008776769,,,,,,,,
