,caseid,tt_visits,tt_domains,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics,who_adult_advertising,who_advertising,who_audio_video_player,who_consent_management,who_customer_interaction,who_data_saved,who_hosting,who_misc,who_site_analytics,who_social_media,who_trackers_per_page_load,who_trackers_requests_all_requests,who_tracking_requests_per_page_load,who_utilities,birthyr,gender,race,educ,pid3,pid7,presvote20post,inputstate,region,gender_lab,race_lab,educ_lab,agegroup_lab,bl_ddg_join_ads_rate,bl_ddg_join_ads_al1,bl_ddg_join_ads_al3,bl_ddg_join_ads_al5,bl_ddg_join_ads_al10,bl_third_party_cookies_rate,bl_third_party_cookies_al1,bl_third_party_cookies_al3,bl_third_party_cookies_al5,bl_third_party_cookies_al10,bl_canvas_fingerprinting_rate,bl_canvas_fingerprinting_al1,bl_canvas_fingerprinting_al3,bl_canvas_fingerprinting_al5,bl_canvas_fingerprinting_al10,bl_session_recording_rate,bl_session_recording_al1,bl_session_recording_al3,bl_session_recording_al5,bl_session_recording_al10,bl_key_logging_rate,bl_key_logging_al1,bl_key_logging_al3,bl_key_logging_al5,bl_key_logging_al10,bl_fb_pixel_rate,bl_fb_pixel_al1,bl_fb_pixel_al3,bl_fb_pixel_al5,bl_fb_pixel_al10,bl_google_analytics_rate,bl_google_analytics_al1,bl_google_analytics_al3,bl_google_analytics_al5,bl_google_analytics_al10,who_trackers_per_page_load_rate,who_trackers_per_page_load_al1,who_trackers_per_page_load_al3,who_trackers_per_page_load_al5,who_trackers_per_page_load_al10,who_tracking_requests_per_page_load_rate,who_tracking_requests_per_page_load_al1,who_tracking_requests_per_page_load_al3,who_tracking_requests_per_page_load_al5,who_tracking_requests_per_page_load_al10,who_trackers_requests_all_requests_rate,who_trackers_requests_all_requests_al1,who_trackers_requests_all_requests_al3,who_trackers_requests_all_requests_al5,who_trackers_requests_all_requests_al10,who_data_saved_rate,who_data_saved_al1,who_data_saved_al3,who_data_saved_al5,who_data_saved_al10,who_advertising_rate,who_advertising_al1,who_advertising_al3,who_advertising_al5,who_advertising_al10,who_audio_video_player_rate,who_audio_video_player_al1,who_audio_video_player_al3,who_audio_video_player_al5,who_audio_video_player_al10,who_customer_interaction_rate,who_customer_interaction_al1,who_customer_interaction_al3,who_customer_interaction_al5,who_customer_interaction_al10,who_hosting_rate,who_hosting_al1,who_hosting_al3,who_hosting_al5,who_hosting_al10,who_consent_management_rate,who_consent_management_al1,who_consent_management_al3,who_consent_management_al5,who_consent_management_al10,who_site_analytics_rate,who_site_analytics_al1,who_site_analytics_al3,who_site_analytics_al5,who_site_analytics_al10,who_misc_rate,who_misc_al1,who_misc_al3,who_misc_al5,who_misc_al10,who_utilities_rate,who_utilities_al1,who_utilities_al3,who_utilities_al5,who_utilities_al10,who_social_media_rate,who_social_media_al1,who_social_media_al3,who_social_media_al5,who_social_media_al10,who_adult_advertising_rate,who_adult_advertising_al1,who_adult_advertising_al3,who_adult_advertising_al5,who_adult_advertising_al10,n_orgs,top_org_share,top_org_visits,top_org_share_duration,gini_exposure,captured_visits
837,288319953,1744,334,6749.0,8568.0,189.0,17.0,5.0,260.0,23.0,0.0,10712.0,624.0,381.0,1023.0,3009.94,5412.0,614.0,3544.0,794.0,4525.4,4879.79,3927.35,1045.0,2000,2,6,3,3,3,1,51,3,Female,Other,Some college,<25,3.869839449541285,True,True,True,True,4.912844036697248,True,True,True,True,0.1083715596330275,True,True,True,True,0.0097477064220183,True,True,True,True,0.0028669724770642,True,True,True,False,0.1490825688073394,True,True,True,True,0.0131880733944954,True,True,True,True,2.594839449541284,True,True,True,True,2.251920871559633,True,True,True,True,2.798044724770642,True,True,True,True,1.7258830275229358,True,True,True,True,6.1422018348623855,True,True,True,True,0.3577981651376147,True,True,True,True,0.5865825688073395,True,True,True,True,3.103211009174312,True,True,True,True,0.2184633027522936,True,True,True,True,2.032110091743119,True,True,True,True,0.3520642201834862,True,True,True,True,0.599197247706422,True,True,True,True,0.4552752293577982,True,True,True,True,0.0,False,False,False,False,355,0.38342857142857145,671.0,0.3350431672867825,0.6848776001085206,0.4377142857142857
838,288351365,4671,129,5704.0,28646.0,78.0,85.0,26.0,173.0,18.0,0.0,21654.0,3273.0,968.0,2028.0,15725.68,19716.0,1920.0,8074.0,1582.0,12635.14,17916.62,18204.99,2525.0,1999,2,1,5,1,2,6,18,2,Female,White,College,<25,1.221151787625776,True,True,True,True,6.132733889959323,True,True,True,True,0.01669877970456,True,True,True,True,0.0181973881395846,True,True,True,True,0.00556625990152,True,True,True,True,0.037037037037037,True,True,True,True,0.0038535645472061,True,True,True,True,2.7050181973881395,True,True,True,True,3.8974502247912657,True,True,True,True,3.8357139798758295,True,True,True,True,3.366662384928281,True,True,True,True,4.635838150289017,True,True,True,True,0.7007064868336544,True,True,True,True,0.4341682723185613,True,True,True,True,4.220937700706487,True,True,True,True,0.207236137871976,True,True,True,True,1.7285377863412543,True,True,True,True,0.4110468850353243,True,True,True,True,0.5405694712053094,True,True,True,True,0.3386855063155641,True,True,True,True,0.0,False,False,False,False,202,0.3760611205432937,1772.0,0.3457263600166109,0.8074024861094262,0.7143463497453311
839,288954341,7472,217,52525.0,76052.0,1755.0,35.0,63.0,2071.0,771.0,0.0,31805.0,1658.0,2686.0,3510.0,12030.91,23702.0,5882.0,18599.0,2488.0,15251.16,33012.520000000004,30303.89,4967.0,1980,2,1,6,3,5,2,6,4,Female,White,Postgrad,35-49,7.029577087794433,True,True,True,True,10.178265524625267,True,True,True,True,0.2348768736616702,True,True,True,True,0.0046841541755888,True,True,True,True,0.0084314775160599,True,True,True,True,0.2771680942184154,True,True,True,True,0.1031852248394004,True,True,True,True,2.041108137044968,True,True,True,True,4.055659796573876,True,True,True,True,4.418163811563169,True,True,True,True,1.6101324946466808,True,True,True,True,4.256557815845825,True,True,True,True,0.2218950749464668,True,True,True,True,0.4697537473233404,True,True,True,True,3.17210920770878,True,True,True,True,0.359475374732334,True,True,True,True,2.4891595289079227,True,True,True,True,0.7872055674518201,True,True,True,True,0.6647483940042827,True,True,True,True,0.3329764453961456,True,True,True,True,0.0,False,False,False,False,296,0.5156687558341112,3867.0,0.43116229910322,0.8675738284945173,0.5680757434324577
840,288958305,291,19,1859.0,2066.0,4.0,131.0,0.0,135.0,131.0,0.0,672.0,117.0,19.0,50.0,203.39,818.0,127.0,230.0,124.0,480.71,467.18,244.53,63.0,2002,1,3,3,1,1,6,48,3,Male,Hispanic,Some college,<25,6.3883161512027495,True,True,True,True,7.099656357388316,True,True,True,True,0.0137457044673539,True,True,False,False,0.4501718213058419,True,True,True,True,0.0,False,False,False,False,0.4639175257731959,True,True,True,True,0.4501718213058419,True,True,True,True,1.6519243986254295,True,True,True,True,0.8403092783505155,True,True,True,True,1.6054295532646048,True,True,True,True,0.6989347079037801,True,True,True,True,2.309278350515464,True,True,True,True,0.4020618556701031,True,True,True,True,0.1718213058419244,True,True,True,True,2.810996563573883,True,True,True,True,0.0652920962199312,True,True,True,True,0.7903780068728522,True,True,True,True,0.436426116838488,True,True,True,True,0.2164948453608247,True,True,True,True,0.4261168384879725,True,True,True,True,0.0,False,False,False,False,38,0.8075601374570447,235.0,0.9300411522633745,0.616297140489018,0.8350515463917526
841,288967217,139,16,252.0,330.0,0.0,5.0,0.0,6.0,0.0,18.0,1783.0,103.0,41.0,65.0,521.25,694.0,73.0,362.0,72.0,666.31,497.55,361.97,109.0,1982,2,3,3,1,1,6,22,3,Female,Hispanic,Some college,35-49,1.8129496402877696,True,True,True,True,2.3741007194244603,True,True,True,True,0.0,False,False,False,False,0.0359712230215827,True,True,True,False,0.0,False,False,False,False,0.0431654676258992,True,True,True,False,0.0,False,False,False,False,4.793597122302158,True,True,True,True,2.6041007194244608,True,True,True,True,3.579496402877698,True,True,True,True,3.75,True,True,True,True,12.827338129496402,True,True,True,True,0.7410071942446043,True,True,True,True,0.4676258992805755,True,True,True,True,4.992805755395684,True,True,True,True,0.2949640287769784,True,True,True,True,2.6043165467625897,True,True,True,True,0.5251798561151079,True,True,True,True,0.7841726618705036,True,True,True,True,0.5179856115107914,True,True,True,True,0.1294964028776978,True,True,True,True,24,0.37410071942446044,52.0,0.2641931157800626,0.5020833333333332,0.6906474820143885
842,289059885,2349,97,18987.0,19032.0,263.0,42.0,527.0,197.0,32.0,0.0,51944.0,2294.0,566.0,2739.0,11610.39,11024.0,2019.0,8376.0,2967.0,13325.75,14373.17,16387.11,1466.0,1982,1,1,3,-1,-1,-1,40,3,Male,White,Some college,35-49,8.08301404853129,True,True,True,True,8.102171136653896,True,True,True,True,0.1119625372498935,True,True,True,True,0.0178799489144316,True,True,True,True,0.2243507875691783,True,True,True,True,0.0838654746700723,True,True,True,True,0.0136228182205193,True,True,True,True,5.672945934440187,True,True,True,True,6.976206896551725,True,True,True,True,6.11884631758195,True,True,True,True,4.942694763729246,True,True,True,True,22.11323967645807,True,True,True,True,0.9765857811834824,True,True,True,True,1.1660280970625798,True,True,True,True,4.693060876968923,True,True,True,True,0.2409535972754363,True,True,True,True,3.5657726692209453,True,True,True,True,0.859514687100894,True,True,True,True,0.6240953597275436,True,True,True,True,1.2630906768837804,True,True,True,True,0.0,False,False,False,False,221,0.5862068965517241,1377.0,0.29380442136045215,0.6997767567733216,0.637718177948063
843,289143385,267,5,2417.0,2926.0,0.0,0.0,0.0,229.0,0.0,0.0,2081.0,4.0,0.0,0.0,708.4699999999999,1169.0,4.0,462.0,233.0,803.8,620.49,1116.32,0.0,2001,1,3,2,3,4,1,34,1,Male,Hispanic,HS or Below,<25,9.05243445692884,True,True,True,True,10.95880149812734,True,True,True,True,0.0,False,False,False,False,0.0,False,False,False,False,0.0,False,False,False,False,0.8576779026217228,True,True,True,True,0.0,False,False,False,False,3.010486891385768,True,True,True,True,4.180973782771535,True,True,True,True,2.323932584269663,True,True,True,True,2.6534456928838948,True,True,True,True,7.794007490636704,True,True,True,True,0.0149812734082397,True,True,False,False,0.0,False,False,False,False,4.378277153558052,True,True,True,True,0.0,False,False,False,False,1.7303370786516854,True,True,True,True,0.0149812734082397,True,True,False,False,0.0,False,False,False,False,0.8726591760299626,True,True,True,True,0.0,False,False,False,False,14,0.9962546816479401,266.0,0.9916144578313253,0.4637804187889075,1.0
844,289245653,25891,323,43524.0,47635.0,240.0,132.0,23.0,243.0,89.0,20.0,154919.0,23042.0,1726.0,19279.0,133094.34,143671.0,39662.0,52164.0,23486.0,95067.5,64400.17,129185.48,3731.0,1983,1,1,5,-1,-1,-1,39,2,Male,White,College,35-49,1.6810474682322043,True,True,True,True,1.8398285118380904,True,True,True,True,0.0092696303734888,True,True,True,True,0.0050982967054188,True,True,True,True,0.0008883395774593,True,True,True,True,0.0093855007531574,True,True,True,True,0.0034374879301687,True,True,True,True,3.67183577304855,True,True,True,True,4.989590205090572,True,True,True,True,2.487357382874358,True,True,True,True,5.140563902514387,True,True,True,True,5.983507782627168,True,True,True,True,0.8899617627747094,True,True,True,True,0.744621683210382,True,True,True,True,5.549071105789657,True,True,True,True,0.0666640917693407,True,True,True,True,2.014754161677803,True,True,True,True,1.5318836661388129,True,True,True,True,0.1441041288478622,True,True,True,True,0.9071105789656636,True,True,True,True,0.0007724691977907,True,True,True,True,417,0.8796542809738781,22798.0,0.802057266631202,0.9110093102729021,0.9103677123123818
845,289407473,9,3,108.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,8.0,6.0,14.0,12.66,84.0,12.0,44.0,8.0,25.96,48.3,14.1,18.0,1977,1,1,6,1,1,1,17,2,Male,White,Postgrad,35-49,12.0,True,True,True,True,4.444444444444445,True,True,True,True,0.0,False,False,False,False,0.0,False,False,False,False,0.0,False,False,False,False,0.0,False,False,False,False,0.0,False,False,False,False,2.8844444444444446,True,True,True,True,1.5666666666666669,True,True,True,True,5.366666666666666,True,True,True,True,1.4066666666666667,True,True,True,True,6.444444444444445,True,True,True,True,0.8888888888888888,True,True,True,False,1.5555555555555556,True,True,True,True,9.333333333333334,True,True,True,True,0.6666666666666666,True,True,True,False,4.888888888888889,True,True,True,True,1.3333333333333333,True,True,True,True,2.0,True,True,True,True,0.8888888888888888,True,True,True,False,0.0,False,False,False,False,16,0.8888888888888888,8.0,1.0,0.01913265306122452,0.8888888888888888
846,289453645,4873,224,13683.0,14704.0,48.0,23.0,22.0,89.0,27.0,710.0,69125.0,3258.0,1370.0,7696.0,14556.45,22953.0,3286.0,11327.0,1863.0,28101.35,25468.11,24131.48,478.0,1998,1,1,3,2,7,6,8,4,Male,White,Some college,25-34,2.807921198440386,True,True,True,True,3.017443053560435,True,True,True,True,0.009850194951775,True,True,True,True,0.0047198850810588,True,True,True,True,0.0045146726862302,True,True,True,True,0.0182639031397496,True,True,True,True,0.0055407346603734,True,True,True,True,5.766745331418018,True,True,True,True,4.952078801559614,True,True,True,True,5.22637184485943,True,True,True,True,2.9871639647034685,True,True,True,True,14.18530679253027,True,True,True,True,0.668581982351734,True,True,True,True,1.5793145906012722,True,True,True,True,4.7102400985019495,True,True,True,True,0.2811409809152473,True,True,True,True,2.324440796224092,True,True,True,True,0.6743279294069362,True,True,True,True,0.0980915247280935,True,True,True,True,0.3823106915657706,True,True,True,True,0.1457008003283398,True,True,True,True,373,0.5270049099836334,2576.0,0.4972929325789174,0.796396137956926,0.6159983633387889
