private_domain,failure_reason,reach,visits,in_visits_stratum,in_uniform_stratum,is_ddg_tracker,ddg_categories,ddg_owner,ha22_measured,wb_2022_capture,wb_snapshot_ts,wb_html_cached
chipotle.com,empty_groups,13,114,True,False,False,,,True,False,,False
lifewayequipa.com,empty_groups,1,92,True,False,False,,,False,False,,False
medscape.com,empty_groups,13,79,True,False,True,,"WebMD, LLC",True,False,,False
stylitics.com,empty_groups,16,75,True,False,True,,"Stylitics, Inc.",False,True,20220621145420.0,True
blidz.com,empty_groups,1,49,True,False,False,,,False,False,,False
miqcommerce.com,empty_groups,3,40,True,False,True,,,False,False,,False
clearvoicesurveysmail.com,empty_groups,14,35,True,False,False,,,False,False,,False
icbf-congress.com,empty_groups,1,33,True,False,False,,,False,False,,False
tyt.com,empty_groups,1,23,True,False,False,,,False,False,,False
heraldtimesonline.com,empty_groups,2,22,True,False,False,,,True,False,,False
pocket-lint.com,empty_groups,6,17,True,False,False,,,True,False,,False
schnellresearch.com,empty_groups,5,11,True,False,False,,,False,True,20220418233045.0,True
theblacksphere.net,empty_groups,3,8,True,False,False,,,True,False,,False
doshopify.com,empty_groups,3,6,True,False,False,,,False,True,20220501044829.0,True
ng.mil,empty_groups,1,3,True,False,False,,,False,False,,False
redfin.com,empty_groups,53,1191,False,True,False,,,True,False,,False
redgifs.com,api_network_error,15,462,False,True,True,,,True,False,,False
utrgv.edu,empty_groups,1,325,False,True,False,,,False,False,,False
salsalabs.org,empty_groups,13,137,False,True,True,,"Salsa Labs, Inc.",True,False,,False
marcos.com,empty_groups,6,111,False,True,False,,,True,False,,False
omnigba.com,empty_groups,1,106,False,True,False,,,False,False,,False
drinkiq.com,empty_groups,9,86,False,True,False,,,True,False,,False
sho.com,empty_groups,5,56,False,True,False,,,True,False,,False
mangahere.cc,empty_groups,2,43,False,True,False,,,True,False,,False
dinosaurized.com,empty_groups,1,41,False,True,False,,,False,False,,False
box.net,empty_groups,5,39,False,True,False,,,True,False,,False
employedusa.com,empty_groups,6,33,False,True,False,,,True,False,,False
freefilefillableforms.com,empty_groups,2,28,False,True,False,,,False,False,,False
lovemesomeprizes.com,empty_groups,1,25,False,True,False,,,False,False,,False
planet7casino.com,empty_groups,3,25,False,True,False,,,True,False,,False
zinmanga.com,empty_groups,1,23,False,True,False,,,False,False,,False
gp.org,empty_groups,1,22,False,True,False,,,False,False,,False
hudsonjeans.com,empty_groups,1,22,False,True,False,,,False,False,,False
indy100.com,empty_groups,7,21,False,True,False,,,True,False,,False
loudwire.com,empty_groups,7,21,False,True,False,,,True,False,,False
solutionhealth.org,empty_groups,2,20,False,True,False,,,True,False,,False
steepandcheap.com,empty_groups,1,16,False,True,False,,,False,False,,False
angelsdateone.ru,empty_groups,1,15,False,True,False,,,False,False,,False
webconsultas.com,empty_groups,2,14,False,True,False,,,True,False,,False
pcfinancial.ca,empty_groups,1,13,False,True,False,,,False,False,,False
defense.gov,api_network_error,4,11,False,True,True,,,True,False,,False
imaginepay.com,api_network_error,2,11,False,True,False,,,True,False,,False
tkconstructors.com,empty_groups,1,11,False,True,False,,,False,False,,False
booksrelease.com,empty_groups,2,10,False,True,False,,,True,False,,False
findfocusgroups.com,empty_groups,2,9,False,True,False,,,True,False,,False
hitpredictor.com,empty_groups,1,8,False,True,False,,,False,False,,False
mobiletime.net,api_network_error,1,8,False,True,False,,,False,False,,False
nm.com,empty_groups,1,8,False,True,False,,,False,False,,False
opendoorsusa.org,empty_groups,1,8,False,True,False,,,False,False,,False
pressidium.com,empty_groups,1,8,False,True,True,,TechIO Ltd,False,False,,False
codementor.io,empty_groups,1,6,False,True,False,,,False,False,,False
froghollow.com,empty_groups,1,6,False,True,False,,,False,False,,False
il.gov,empty_groups,2,6,False,True,False,,,True,False,,False
contactscart.com,empty_groups,2,5,False,True,False,,,True,False,,False
massagetherapy.com,api_network_error,2,5,False,True,False,,,True,False,,False
rpggeek.com,empty_groups,1,5,False,True,False,,,False,False,,False
sweepswinner.com,empty_groups,3,5,False,True,False,,,True,False,,False
allthingsstone.com,empty_groups,1,4,False,True,False,,,False,False,,False
developmentencyclopaedia.com,empty_groups,1,4,False,True,False,,,False,False,,False
greatparks.org,empty_groups,1,4,False,True,False,,,False,False,,False
insboys.com,empty_groups,1,4,False,True,False,,,False,False,,False
justcreative.com,empty_groups,2,4,False,True,False,,,True,False,,False
linkcdn.to,empty_groups,1,4,False,True,False,,,False,False,,False
outlawkitchens.com,empty_groups,1,4,False,True,False,,,False,False,,False
researchamericainc.com,empty_groups,1,4,False,True,False,,,False,False,,False
thisdayinaviation.com,empty_groups,2,4,False,True,False,,,True,False,,False
antitpd.com,empty_groups,1,3,False,True,False,,,False,False,,False
equityapartments.com,empty_groups,1,3,False,True,False,,,False,False,,False
fybelle.com,empty_groups,1,3,False,True,False,,,False,False,,False
gotodobbs.com,empty_groups,1,3,False,True,False,,,False,False,,False
macaronigrill.com,empty_groups,1,3,False,True,False,,,False,False,,False
nordicneedle.net,empty_groups,1,3,False,True,False,,,False,False,,False
pomopizzeria.com,empty_groups,1,3,False,True,False,,,False,False,,False
pridewaves.com,empty_groups,1,3,False,True,False,,,False,False,,False
riverfoodpantry.org,empty_groups,1,3,False,True,False,,,False,False,,False
spreadthefaithstore.com,empty_groups,1,3,False,True,False,,,False,False,,False
surgentcpe.com,empty_groups,1,3,False,True,False,,,False,False,,False
transfermarkt.com,empty_groups,1,3,False,True,False,,,False,False,,False
camscape.com,empty_groups,1,2,False,True,False,,,False,False,,False
cartermario.com,empty_groups,1,2,False,True,False,,,False,False,,False
dakine.com,api_network_error,1,2,False,True,False,,,False,False,,False
digitach.net,empty_groups,1,2,False,True,False,,,False,False,,False
entitlementopposition.com,empty_groups,1,2,False,True,False,,,False,False,,False
flxfy-host01.com,empty_groups,1,2,False,True,False,,,False,False,,False
fontsgeek.com,empty_groups,1,2,False,True,False,,,False,False,,False
foreverstampshop.com,empty_groups,1,2,False,True,False,,,False,False,,False
ganbino.com,empty_groups,1,2,False,True,False,,,False,False,,False
hellotds.com,empty_groups,1,2,False,True,False,,,False,False,,False
highvoltagedetox.com,empty_groups,1,2,False,True,False,,,False,False,,False
hpinstantink.com,empty_groups,1,2,False,True,False,,,False,False,,False
intuit.me,empty_groups,1,2,False,True,False,,,False,False,,False
legionfarm.com,empty_groups,1,2,False,True,False,,,False,False,,False
lendtra.com,empty_groups,1,2,False,True,False,,,False,False,,False
mountzionfinancing.com,empty_groups,1,2,False,True,False,,,False,False,,False
mycreditcard.mobi,empty_groups,1,2,False,True,False,,,False,False,,False
mytupperware.com,empty_groups,1,2,False,True,False,,,False,False,,False
numberle.org,empty_groups,1,2,False,True,False,,,False,False,,False
outdoorelement.com,empty_groups,1,2,False,True,False,,,False,False,,False
poprtb.com,empty_groups,1,2,False,True,True,,,False,False,,False
pyyodebts.com,empty_groups,1,2,False,True,False,,,False,False,,False
seedsman.com,empty_groups,1,2,False,True,False,,,False,False,,False
sendmesamples.com,empty_groups,1,2,False,True,False,,,False,False,,False
starmotorcars.com,empty_groups,1,2,False,True,False,,,False,False,,False
townhallburgerandbeer.com,empty_groups,1,2,False,True,False,,,False,False,,False
treatstream.com,empty_groups,1,2,False,True,False,,,False,False,,False
vertiv.com,empty_groups,1,2,False,True,False,,,False,False,,False
videochums.com,empty_groups,1,2,False,True,False,,,False,False,,False
yrrut.com,empty_groups,1,2,False,True,False,,,False,False,,False
zeteo316.com,empty_groups,1,2,False,True,False,,,False,False,,False
billybeezus.co,empty_groups,1,1,False,True,False,,,False,False,,False
howoldamicalc.com,empty_groups,1,1,False,True,False,,,False,False,,False
letstravelfamily.com,empty_groups,1,1,False,True,False,,,False,False,,False
officesepot.co,empty_groups,1,1,False,True,False,,,False,False,,False
posnet.us,empty_groups,1,1,False,True,False,,,False,False,,False
protonpuredirect.com,empty_groups,1,1,False,True,False,,,False,False,,False
