private_domain,dns_resolves,probe_status,http_status,final_url,page_title,probe_error,bl_scan_success,bl_final_url,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics
utrgv.edu,True,live,200.0,https://www.utrgv.edu/,The University of Texas Rio Grande Valley | UTRGV,,True,https://www.utrgv.edu/,7.0,1.0,0.0,0.0,0.0,1.0,1.0
vertiv.com,True,live,200.0,https://www.vertiv.com/en-us/,Vertiv | A global leader in critical digital infrastructure,,True,https://www.vertiv.com/en-us/,9.0,16.0,0.0,0.0,0.0,0.0,0.0
videochums.com,True,live,200.0,https://videochums.com/,Video Chums · Hang out and play games,,True,https://videochums.com/,23.0,45.0,0.0,0.0,0.0,0.0,0.0
wayfair.com,True,http_error,429.0,https://www.wayfair.com/,Access to this page has been denied,,True,https://www.wayfair.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webconsultas.com,True,live,200.0,https://webconsultas.com/,Webconsultas – Sitio Cerrado,,True,https://webconsultas.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wgntv.com,True,http_error,403.0,https://wgntv.com/,Access to this page has been denied,,True,https://wgntv.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wmcdp.io,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
xlviiirdr.com,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,https://xlviiirdr.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yougov.com,True,live,200.0,https://yougov.com/,YouGov: Data Analytics & Market Research Services,,True,https://yougov.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yrrut.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
zeteo316.com,True,live,200.0,https://zeteo316.com/,Zeteo 3:16 - Serve-Inform-Support,,True,https://zeteo316.com/,4.0,1.0,0.0,0.0,0.0,0.0,0.0
zinmanga.com,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,False,,,,,,,,
