outcome,term,b,se,p
bl_ddg_join_ads_rate,Woman,-0.18848313114491677,0.21134384633845826,0.3724831747014108
bl_ddg_join_ads_rate,Race: African American,-0.049076622439920115,0.3390977800626444,0.8849263787041115
bl_ddg_join_ads_rate,Race: Asian,-1.1712337630448895,0.30066107254342006,9.798485775440165e-05
bl_ddg_join_ads_rate,Race: Hispanic,0.07641678086258219,0.32089180629661895,0.811773463476656
bl_ddg_join_ads_rate,Race: Other,-0.2873721463017085,0.4383211833887997,0.51206863616685
bl_ddg_join_ads_rate,Educ: Some college,0.19214174167409204,0.26464696320536163,0.4678201318292119
bl_ddg_join_ads_rate,Educ: College,0.4882957025430803,0.2939460732237213,0.09667841814358157
bl_ddg_join_ads_rate,Educ: Postgraduate,0.25647334394807725,0.31728021103853926,0.4188893346192831
bl_ddg_join_ads_rate,Age: 25--34,0.5238031121769695,0.267378525668133,0.05010902871156503
bl_ddg_join_ads_rate,Age: 35--49,1.8998400587259954,0.3002425588239368,2.488680055563027e-10
bl_ddg_join_ads_rate,Age: 50--64,2.131231846097342,0.30505392109904506,2.820086309558393e-12
bl_ddg_join_ads_rate,Age: 65+,2.8617875901773457,0.3073470964910902,1.2632913215018004e-20
bl_third_party_cookies_rate,Woman,-0.08442118645663005,0.2921315773165518,0.7725940545613154
bl_third_party_cookies_rate,Race: African American,-0.47339587464111216,0.42910977929395877,0.26993833203372597
bl_third_party_cookies_rate,Race: Asian,-1.4467561829538966,0.4384472640892267,0.0009677899581725589
bl_third_party_cookies_rate,Race: Hispanic,0.032649718883038706,0.4518625697915383,0.9423982909199085
bl_third_party_cookies_rate,Race: Other,-0.09676706954745568,0.6722282253919983,0.8855401680732438
bl_third_party_cookies_rate,Educ: Some college,0.16963036762166905,0.3615196148565759,0.638916080322695
bl_third_party_cookies_rate,Educ: College,0.7454376449878548,0.41987289278390905,0.07583370664154408
bl_third_party_cookies_rate,Educ: Postgraduate,0.27438964739553673,0.4415733189616129,0.534342450108271
bl_third_party_cookies_rate,Age: 25--34,0.7234756254576444,0.40882382079111224,0.07678523936197566
bl_third_party_cookies_rate,Age: 35--49,1.9958112060674003,0.45537981819901685,1.1719611045742451e-05
