outcome,term,b,se,p
bl_ddg_join_ads,Woman,-34.93721149567878,27.878509304800374,0.2101347096553111
bl_ddg_join_ads,Race: African American,-20.57537542586961,41.49405018828258,0.6199908817355574
bl_ddg_join_ads,Race: Asian,9.339964810439248,70.08502755626473,0.8939828631366341
bl_ddg_join_ads,Race: Hispanic,-43.20871195772247,30.95181432080402,0.16271469784753567
bl_ddg_join_ads,Race: Other,-12.24959050260485,58.24593342963041,0.8334272283739336
bl_ddg_join_ads,Educ: Some college,12.468728878999606,28.966815730765973,0.6668692584129123
bl_ddg_join_ads,Educ: College,128.05042211989115,43.400700512021885,0.003173392017298372
bl_ddg_join_ads,Educ: Postgraduate,93.23822078121367,52.35518113737983,0.07493228815032577
bl_ddg_join_ads,Age: 25--34,25.441600616262285,24.32853292568664,0.295675763174727
bl_ddg_join_ads,Age: 35--49,120.22372980428152,33.78079811354044,0.00037235893353720613
bl_ddg_join_ads,Age: 50--64,184.63860407104647,36.31546702512803,3.689910261514985e-07
bl_ddg_join_ads,Age: 65+,310.17885076260836,37.54062731560572,1.4267128582605718e-16
bl_third_party_cookies,Woman,-30.193526821906097,31.742295126311458,0.34149877002185436
bl_third_party_cookies,Race: African American,-29.663293947354337,45.118653191900236,0.5108911063394221
bl_third_party_cookies,Race: Asian,32.48500223446954,83.26653346350325,0.6964383818728368
bl_third_party_cookies,Race: Hispanic,-43.81526308097266,35.52556281963983,0.21744720354541391
bl_third_party_cookies,Race: Other,0.12203857231587278,75.25364573429523,0.9987060739842822
bl_third_party_cookies,Educ: Some college,30.70273951361408,34.72772546233705,0.3766428948409485
bl_third_party_cookies,Educ: College,163.13901988450047,49.874566923058666,0.001071731420244164
bl_third_party_cookies,Educ: Postgraduate,91.7392268255681,52.63521631305091,0.08134674157598996
bl_third_party_cookies,Age: 25--34,30.94211749113776,30.794595183349646,0.31499772678463656
bl_third_party_cookies,Age: 35--49,119.32068973597211,37.55284274522615,0.0014859800751413988
bl_third_party_cookies,Age: 50--64,215.79372116667435,43.37997887947429,6.54161379589173e-07
bl_third_party_cookies,Age: 65+,355.92759213080706,44.6943497274312,1.6711486363123117e-15
bl_fb_pixel,Woman,-38.21223708937465,38.807390581441574,0.32478918390088773
bl_fb_pixel,Race: African American,-3.7082134443764474,69.84739949032584,0.9576600278920296
bl_fb_pixel,Race: Asian,21.76408839647177,88.0001665623866,0.8046615736300047
bl_fb_pixel,Race: Hispanic,-78.23201045094568,37.49785448726295,0.0369508854089253
bl_fb_pixel,Race: Other,-7.980583374856344,90.45204915650817,0.9296938818397871
bl_fb_pixel,Educ: Some college,50.03098651854053,44.31582443413376,0.2589128672056744
bl_fb_pixel,Educ: College,78.33054958295294,48.44805812179908,0.10592266631087446
bl_fb_pixel,Educ: Postgraduate,176.7149316080517,88.56334405178175,0.04600464255979746
bl_fb_pixel,Age: 25--34,52.386696167544386,52.1244620484604,0.3148819603262005
bl_fb_pixel,Age: 35--49,104.89844835398958,49.37602825809075,0.033629918696741715
bl_fb_pixel,Age: 50--64,178.7039210584295,53.4714272691486,0.0008316354947025795
bl_fb_pixel,Age: 65+,338.76363291012103,63.44626595974871,9.326571184379357e-08
bl_google_analytics,Woman,2.1200388803046435,6.029707210307895,0.7251390333166647
bl_google_analytics,Race: African American,-7.0583739595836335,7.771671725753874,0.36376293296752626
bl_google_analytics,Race: Asian,39.36209695994646,33.82400466200019,0.24453239289646
bl_google_analytics,Race: Hispanic,-17.818677778508267,5.530736883311113,0.0012740814563703164
bl_google_analytics,Race: Other,-13.201095559460875,8.105127779481935,0.1033693844190897
bl_google_analytics,Educ: Some college,12.13176541194326,7.028167107669041,0.08431800561311519
bl_google_analytics,Educ: College,15.843959466485295,6.848693914100999,0.020699125510689934
bl_google_analytics,Educ: Postgraduate,13.57627820057273,13.37454796632809,0.31006619580920514
bl_google_analytics,Age: 25--34,-10.010515352231693,12.843498757546456,0.4357307162221836
bl_google_analytics,Age: 35--49,8.820039427313858,12.86858498978587,0.4930958936109471
bl_google_analytics,Age: 50--64,-7.92066831072795,10.537844255640113,0.4522674072681516
bl_google_analytics,Age: 65+,2.8421465604207468,11.208894508446495,0.7998341739830412
bl_key_logging,Woman,-1.2449699266030976,55.764901818024036,0.9821884421944191
bl_key_logging,Race: African American,-34.309980567557275,83.5685137685262,0.6813943957782873
bl_key_logging,Race: Asian,-143.41697252062627,77.82202943990954,0.06534594956632647
bl_key_logging,Race: Hispanic,-59.307515452907246,73.05015436195794,0.41686397854180923
bl_key_logging,Race: Other,-141.69867622001104,70.08811661826746,0.043205096110967976
bl_key_logging,Educ: Some college,-8.382065196313118,63.922309125145276,0.8956733011001368
bl_key_logging,Educ: College,172.04243124208693,87.44858541697113,0.04914227273103782
bl_key_logging,Educ: Postgraduate,10.404578674802197,80.05310545995741,0.8965894052293568
bl_key_logging,Age: 25--34,-74.94265586077114,103.94190480619214,0.47090630357441643
bl_key_logging,Age: 35--49,158.01287044152213,119.39283182269882,0.18567901706084644
bl_key_logging,Age: 50--64,146.28376813669541,118.03720562056803,0.2152336057687485
bl_key_logging,Age: 65+,309.6435266515253,120.58257832085557,0.010231783323118599
bl_session_recording,Woman,-2.6486181660530566,20.86041240179383,0.8989652202865104
bl_session_recording,Race: African American,-4.3693587621554535,26.477827791352667,0.8689286081570251
bl_session_recording,Race: Asian,-59.30588090671577,26.09124565989417,0.02302507243131581
bl_session_recording,Race: Hispanic,-21.091955398193896,24.668062998971834,0.39253405749346293
bl_session_recording,Race: Other,-32.48890232454618,27.60034507585639,0.23914784293248936
bl_session_recording,Educ: Some college,5.97092416168941,20.166088011990347,0.7671633515284665
bl_session_recording,Educ: College,87.87318769978683,35.90997328483383,0.014403433353444788
bl_session_recording,Educ: Postgraduate,69.26730760138035,35.970369416276604,0.05414473647822912
bl_session_recording,Age: 25--34,9.91495087255537,29.818090122756733,0.739500702835897
bl_session_recording,Age: 35--49,53.24919395243252,30.109441983037307,0.07697376972707438
bl_session_recording,Age: 50--64,80.59125555767685,34.8602082384901,0.020786451998374124
bl_session_recording,Age: 65+,141.2195532939329,35.04747696574559,5.5924490170729454e-05
bl_canvas_fingerprinting,Woman,94.45815887896933,39.066417266070516,0.015610949747125518
bl_canvas_fingerprinting,Race: African American,-40.43379598857997,63.30240407214145,0.5229918972057325
bl_canvas_fingerprinting,Race: Asian,21.25523391621352,80.34123893544117,0.7913469442331222
bl_canvas_fingerprinting,Race: Hispanic,-22.440005666754715,51.175136731429205,0.6610280025156534
bl_canvas_fingerprinting,Race: Other,195.71776777435116,146.3021906956683,0.180973461040839
bl_canvas_fingerprinting,Educ: Some college,33.46956512522449,44.316731409426566,0.45010774150988986
bl_canvas_fingerprinting,Educ: College,88.8755128330925,52.88152469670841,0.09283026232956126
bl_canvas_fingerprinting,Educ: Postgraduate,166.093647630145,94.19412270426045,0.077847845391761
bl_canvas_fingerprinting,Age: 25--34,48.09154627928051,50.89637523998528,0.3447143323335983
bl_canvas_fingerprinting,Age: 35--49,91.03657693062806,40.281965149953066,0.02382227437967288
bl_canvas_fingerprinting,Age: 50--64,174.45045816889487,45.77442097216502,0.00013835513343747605
bl_canvas_fingerprinting,Age: 65+,372.51795483672345,60.2429316619064,6.265757618049679e-10
top_org_visits,Woman,-5.353448129867359,2.681084012127531,0.04585260587399393
top_org_visits,Race: African American,-2.591265579436987,4.224697750902916,0.5396375512871073
top_org_visits,Race: Asian,12.970376008626268,9.237047139368102,0.1602685060448853
top_org_visits,Race: Hispanic,-2.6958303928723013,3.813048120650701,0.4795656023431003
top_org_visits,Race: Other,-4.190079310517514,4.7779196373745325,0.38050439656589674
top_org_visits,Educ: Some college,4.285413430152966,3.0184650419946117,0.15568552345441594
top_org_visits,Educ: College,13.190813831606054,3.792727794282022,0.0005053157537444813
top_org_visits,Educ: Postgraduate,11.314114324943214,4.907427826160007,0.021138136809216064
top_org_visits,Age: 25--34,1.4140865416552266,5.214456170089133,0.7862481230168854
top_org_visits,Age: 35--49,2.764723807014742,4.761933225626867,0.5615178051491292
top_org_visits,Age: 50--64,5.844339400414097,4.915798672423805,0.234483314659077
top_org_visits,Age: 65+,12.663963367360715,4.830501872644382,0.008750109276259816
