caseid,coverage,ddg_join_ads_zero,ddg_join_ads_mean,ddg_join_ads_ha_mean,ddg_join_ads_hawb_mean,third_party_cookies_zero,third_party_cookies_mean,third_party_cookies_ha_mean,third_party_cookies_hawb_mean,ha22_ddg_join_ads,ha25_ddg_join_ads,drift_ddg_join_ads,ha22_third_party_cookies,ha25_third_party_cookies,drift_third_party_cookies
47541,0.882866116087007,9.413807142026288,10.177484130084466,10.214483562337202,10.2002659338679,10.00901477259509,10.909719022242259,10.971386534845907,10.971386534845907,23.55961381877399,30.71292311271374,7.153309293939749,13.884669070606025,31.14551587763173,17.260846807025708
56565,0.8109591427824724,8.510671661294538,9.743160055234013,9.802430505076558,9.79443133410473,8.997909225542294,10.451544141116743,10.537705105066479,10.537705105066479,21.628103493335658,27.133417545082324,5.505314051746666,12.514809652408747,26.12875686035369,13.613947207944943
203271,0.7642201834862385,1.7304281345565748,3.2676402042416153,3.3315055209841185,3.339152736651052,3.484250764525994,5.297286204149265,5.430132590489882,5.430132590489882,9.85565749235474,8.099006116207951,-1.75665137614679,3.5906727828746177,3.9482415902140673,0.3575688073394496
216457,0.8299435028248587,11.182485875706215,12.29120206630826,12.330619893890413,12.301058783788712,2.853107344632768,4.160761497034446,4.221606359843398,4.221606359843398,11.655649717514125,38.03813559322034,26.382485875706216,7.293785310734464,31.882485875706216,24.588700564971752
257495,0.7297243308030363,7.367259288853376,9.12937373518269,9.209151921117632,9.205600161568457,7.709648421893728,9.787940677640695,9.864231597134825,9.864231597134825,23.849580503395924,28.429584498601677,4.580003995205754,17.36111666000799,29.873601677986418,12.512485017978427
283951,0.9739776951672863,2.7942998760842626,2.9639573203105636,2.9733233282893465,2.9473886740737276,3.1028500619578687,3.302949296828706,3.321039879386619,3.321039879386619,12.104089219330856,9.892193308550185,-2.2118959107806706,3.278810408921933,5.742874845105328,2.464064436183395
294487,0.7173030056864338,4.994516653127539,6.837614328526457,6.917023823909686,6.839022531931426,4.383157324668291,6.5569637044673845,6.655214869591659,6.655214869591659,22.0180408881668,18.8929731925264,-3.1250676956404,12.076969943135662,13.889385323585161,1.8124153804494991
296069,0.8924022178930017,6.841600479544433,7.543105009371588,7.572019192093697,7.549280217396854,6.273640041960138,7.101016172238299,7.152937199934598,7.152937199934598,28.272366252060543,28.894350367151205,0.6219841150906618,7.463209950546981,12.388730705829461,4.925520755282481
345485,0.7907742998352554,8.872440574252765,10.236527951777623,10.300092329472278,10.282852406941798,3.705813132501765,5.314659957847117,5.397695622145266,5.397695622145266,16.460696634502234,32.87008707931278,16.409390444810548,9.195575429512827,24.76829842315839,15.572722993645565
359503,0.5471526195899772,5.00501138952164,7.957437382485759,8.130297574493856,8.048852206217996,7.156492027334852,10.638674521000558,10.856482010455846,10.856482010455846,13.392596810933941,15.139179954441913,1.746583143507971,7.347608200455581,7.923917995444191,0.5763097949886102
368901,0.5220614828209765,9.883001808318264,12.99901431540275,13.267970777081612,13.269659597196146,12.852441229656419,16.52756271553641,16.767013075675475,16.767013075675475,61.249095840867994,46.02983725135624,-15.219258589511753,55.16057866184448,49.72414104882459,-5.436437613019891
438245,0.7952668829253907,8.914479504570924,10.249276618610415,10.297554300075959,10.252068489505422,9.107932763196697,10.682233746246032,10.796493054186561,10.796493054186561,21.50552934237688,30.253059569448542,8.74753022707166,12.34355647301681,33.21663963432616,20.873083161309346
487819,0.8338338338338338,6.563290563290563,7.646642989213807,7.66148788792299,7.664477684079408,7.285740285740285,8.563479629930526,8.624186398555668,8.624186398555668,18.281417781417783,22.404176904176904,4.1227591227591205,9.616161616161616,21.233733733733732,11.617572117572116
509295,0.8041892650084159,2.264447353656256,3.541073273777768,3.590104492763381,3.8162806165313174,2.2068449597905366,3.7125370383052476,3.7899331997940178,3.7899331997940178,10.588834860669534,9.308023190574154,-1.28081167009538,5.223863848887227,4.45894894333271,-0.7649149055545168
576397,0.5882688739831597,4.957185671471386,7.641546299689784,7.75179582559763,7.75083211124686,5.652775795632938,8.818793710575873,8.98796564440278,8.98796564440278,18.40859140859141,20.52426145283288,2.1156700442414724,9.929356357927787,17.338804053089767,7.40944769516198
596481,0.71088391354989,14.520641905008413,16.405590091848964,16.490279747156826,16.484061480107705,14.065614080496958,16.288780247345855,16.41350318657651,16.41350318657651,34.42513265174065,57.96551054743109,23.54037789569044,24.197748155817266,64.36275397955222,40.16500582373496
629125,0.47074707470747074,3.846984698469847,7.297551403904135,7.575436444480471,7.575436444480471,2.552655265526553,6.622360316058892,7.0776810025582595,7.0776810025582595,40.8051305130513,32.88208820882088,-7.923042304230421,12.117911791179118,26.041854185418543,13.923942394239425
645543,0.6785811825754472,6.90458145568756,9.000133538450662,9.111302522994569,9.100367907280017,6.375017069507033,8.846575982262841,8.943644236543772,8.943644236543772,30.20913560016387,26.97572716099959,-3.233408439164279,21.030895807729074,21.78891847603441,0.7580226683053368
716485,0.866158609192665,5.222672064777328,6.095276872154721,6.149110507567073,6.117958349386548,6.145510835913313,7.1746879232913745,7.2337776402808975,7.2337776402808975,17.299476065729937,13.846749226006192,-3.452726839723745,8.055370326268159,6.969754703500834,-1.0856156227673255
729591,0.6694354566088763,7.685227217849037,9.840406628132024,9.946431294658485,9.923184415975136,6.428454145940986,8.970339372219513,9.064709526016705,9.064709526016705,25.057033853286327,26.857463659632007,1.8004298063456794,16.74568986333124,26.958709615106002,10.213019751774763
865545,0.6363636363636364,22.16883116883117,24.539628701136362,24.679318827129602,24.47546234058411,37.76623376623377,40.56242567170156,40.69348912304555,40.69348912304555,44.951298701298704,46.66233766233766,1.711038961038959,34.94805194805195,44.63961038961039,9.691558441558442
